Place,Name,Country,Points,Record,Opp. Win %,Opp. Opp. %,Deck,List,Player ID
1,Lex417,,42,14 - 4 - 0,,,Jolteon Inteleon,,lex417
2,Vini Fernandez,,41,13 - 3 - 2,,,Dark Box Inteleon,,warexpert
3,Stephen Roche,,39,12 - 2 - 3,,,Mew Genesect,,stephenroche
4,grantm12,,39,12 - 2 - 3,,,Suicune Moltres,,grantm12
5,I miss galaxy mew3,,35,11 - 3 - 2,,,Suicune Inteleon,,raio120
6,Kuj4k,,34,11 - 4 - 1,,,Duraludon,,kuj4k
7,RyanM,,34,11 - 4 - 1,,,Duraludon,,ryanm
8,Patricia Gonzalez Walsh,,34,11 - 4 - 1,,,Jolteon Inteleon,,patogw
9,ElCrxzado,,33,11 - 4 - 0,,,Duraludon,,elcrxzado
10,ChaloZamorano,,32,10 - 3 - 2,,,Mew Genesect,,chalozamorano
11,Frenillo,,32,10 - 3 - 2,,,Leafeon,,frenillo
12,adrielichu,,31,10 - 4 - 1,,,Jolteon Inteleon,,adrielichu
13,arlon143,,31,10 - 4 - 1,,,Mew Genesect,,arlon143
14,sencha,,31,10 - 4 - 1,,,Umbreon Urshifu,,kirikisencha
15,James Castaneda,,30,10 - 5 - 0,,,Mew Genesect,,memejesus7099
16,João  Pires,,30,10 - 5 - 0,,,Dark Box Inteleon,,luisao99
17,EvanCampbell94,,30,10 - 4 - 0,47.67%,50.00%,Mew Genesect,,evancampbell94
18,Kevin Kenny,,30,10 - 4 - 0,41.00%,54.10%,Suicune Ludicolo,,sos2k
19,thedanibarra,,30,10 - 4 - 0,41.00%,51.25%,Mew Genesect,,thedanibarra
20,Ayato,,30,10 - 4 - 0,38.00%,59.77%,Eternatus,,ayato
21,JakeFSmash,,29,9 - 3 - 2,60.00%,43.80%,Dark Box Inteleon,,jakefsmash
22,RingToss,,28,9 - 4 - 1,64.00%,52.33%,Mew Genesect,,ringtoss
23,KeenanKid,,28,9 - 4 - 1,54.00%,57.78%,Eternatus,,keenankid
24,Joshua Sutherland,,28,9 - 4 - 1,50.00%,58.40%,Zacian,,joshuasutherland21
25,GabrielBrenes,,28,9 - 4 - 1,50.00%,53.17%,Leafeon Inteleon,,gabrielbrenes
26,Jerrick Gumila,,28,9 - 4 - 1,44.67%,58.95%,Mew Genesect,,jmila7
27,christianchasejr,,27,9 - 5 - 0,72.00%,41.20%,Dark Box Inteleon,,christianchasejr
28,xANDYx,,27,9 - 5 - 0,56.00%,44.00%,Duraludon,,xandyx
29,Caiden T,,27,9 - 5 - 0,53.00%,51.45%,Suicune Ludicolo,,thieleman8
30,Nicholas Homa,,27,9 - 5 - 0,52.00%,48.73%,Calyrex Inteleon,,aquiladisicilia
31,Cameron Padilla,,27,9 - 5 - 0,50.67%,50.94%,Mew Genesect,,camycameron
32,Xsims,,27,9 - 5 - 0,50.00%,50.87%,Mew Genesect,,xsims
33,GODDO7,,27,9 - 5 - 0,50.00%,49.49%,Urshifu Inteleon,,goddo7
34,catmeasles,,27,9 - 5 - 0,49.00%,54.68%,Duraludon,,catmeasles
35,TrebDoggo,,27,9 - 5 - 0,46.67%,49.71%,Mew Genesect,,trebdoggo
36,wakingeyes,,27,9 - 5 - 0,46.00%,56.40%,Zacian,,wakingeyes
37,ianlaneifa,,25,8 - 5 - 1,57.00%,49.93%,Dark Box Inteleon,,ianlaneifa
38,KR54,,25,8 - 5 - 1,54.67%,50.43%,Umbreon Urshifu,,kr54
39,Cody Burns,,25,8 - 5 - 1,51.33%,52.92%,Mew Genesect,,icewolf
40,bananadiabetica,,25,8 - 5 - 1,50.67%,47.61%,Duraludon,,bananadiabetica
41,2girls1muk,,25,8 - 5 - 1,43.00%,54.67%,Zacian,,2girls1muk
42,HayBay161515,,25,8 - 5 - 1,43.00%,48.47%,Leafeon Moltres,,haybay161515
43,iStark11,,25,8 - 5 - 1,38.00%,45.38%,Duraludon,,istark11
44,Ste086,,24,8 - 5 - 0drop,60.00%,46.25%,Suicune Inteleon,,ste086
45,Ontaro29,,24,8 - 5 - 0drop,60.00%,45.50%,Dark Box Inteleon,,ontaro29
46,Jerkules,,24,8 - 6 - 0,51.25%,43.50%,Mew Genesect,,jerkules
47,1upization,,24,8 - 6 - 0,50.67%,44.28%,Mew Genesect,,1upization
48,Miguekage16,,24,8 - 6 - 0,46.00%,47.93%,Rapid Strike Malamar,,miguekage16
49,Joe Higashi,,24,8 - 6 - 0,45.00%,43.61%,Single Strike Urshifu,,rotaryrocket
50,Corey Blankenship,,24,8 - 6 - 0,37.00%,53.26%,Mew Genesect,,coreyology
51,SLAYER7271993,,22,7 - 6 - 1,68.00%,46.93%,Mew Genesect,,slayer7271993
52,MunchlaxTCG,,22,7 - 5 - 1drop,51.25%,46.25%,Mew Genesect,,munchlaxtcg
53,shishiya,,22,7 - 4 - 1drop,45.00%,55.71%,Victini,,shishiya
54,sapocururu,,22,7 - 6 - 1,42.00%,50.68%,Mew Genesect,,sapocururu
55,Takaki S,,21,7 - 6 - 0drop,65.00%,40.25%,Umbreon Urshifu,,takaki
56,NGKyVong,,21,7 - 5 - 0drop,60.00%,46.67%,Umbreon Urshifu,,ngkyvong
57,Connor Murphy,,21,7 - 5 - 0drop,55.00%,49.67%,Jolteon Inteleon,,witlessconnor
58,James Simms,,21,7 - 5 - 0drop,48.33%,49.62%,Umbreon Urshifu,,4600737
59,Cameron Kawasaki,,21,7 - 4 - 0drop,42.50%,50.00%,Urshifu Inteleon,,beastes123
60,Vicariant23,,19,6 - 4 - 1drop,66.67%,45.00%,Mew Genesect,,vicariant23
61,Doubllez,,19,6 - 3 - 1drop,60.00%,50.00%,Jolteon Inteleon,,doubllez
62,Mahh6,,19,6 - 5 - 1drop,55.00%,46.25%,Victini,,mahh6
63,ChromePvP,,19,6 - 5 - 1drop,48.33%,47.27%,Mew Genesect,,chromepvp
64,Kevin Campos,,19,6 - 7 - 1,46.67%,46.38%,Jolteon Inteleon,,omegababo
65,Michele  Babin,,19,6 - 7 - 1,41.00%,47.17%,Mew Genesect,,michelebabin
66,Aman227,,19,6 - 6 - 1drop,37.50%,40.49%,Mew Genesect,,aman227
67,Caleb Rogerson,,19,6 - 3 - 1drop,25.00%,51.25%,Mew Genesect,,memaanhc
68,Atomicsmash,,18,6 - 4 - 0drop,80.00%,47.67%,Zacian,,atomicsmash
69,APackOfAlpacas,,18,6 - 4 - 0drop,66.67%,45.00%,Urshifu Inteleon,,apackofalpacas
70,kohawk2121,,18,6 - 4 - 0drop,60.00%,49.00%,Gengar,,kohawk2121
71,HotChip17,,18,6 - 4 - 0drop,60.00%,46.00%,Duraludon,,hotchip17
